JaipurFinalCleanData,,,,,,,,,,,,,,,,
date,mean_temperature,max_temperature,min_temperature,Mean_dew_pt,mean_pressure,max_humidity,min_humidity,max_dew_pt_1,max_dew_pt_2,min_dew_pt_1,min_dew_pt_2,max_pressure_1,max_pressure_2,min_pressure_1,min_pressure_2,rainfall
5/4/16,34,41,27,6,1006,27,5,12,10,-2,-2,1009,1008,1000,1001,0
5/5/16,31,38,24,7,1005.65,29,6,13,12,0,-2,1008,1009,1001,1000,0
5/6/16,28,34,21,11,1007.94,61,13,16,13,6,0,1011,1008,1003,1001,5
5/7/16,30,38,23,13,1008.39,69,18,17,16,9,6,1011,1011,1004,1003,0
5/8/16,34,41,26,10,1007.62,50,8,14,17,6,9,1010,1011,1002,1004,0
5/9/16,34,42,27,8,1006.73,32,7,12,14,6,6,1010,1010,1002,1002,0
5/10/16,34,41,27,11,1005.75,45,7,16,12,7,6,1008,1010,1000,1002,0.3
5/11/16,32,40,25,16,1007.1,51,12,18,16,13,7,1010,1008,1002,1000,0.8
5/12/16,34,42,27,16,1006.78,66,16,22,18,10,13,1011,1010,1001,1002,2
5/13/16,34,42,26,13,1003.83,58,9,20,22,10,10,1007,1011,998,1001,0.3
5/14/16,35,42,28,11,1003.56,40,9,16,20,7,10,1006,1007,998,998,0
5/15/16,36,44,29,13,1004.74,48,8,19,16,10,7,1007,1006,1000,998,0
5/16/16,36,43,28,12,1005.02,40,7,16,19,9,10,1008,1007,1001,1000,0
5/17/16,35,44,26,13,1003.68,51,6,19,16,7,9,1006,1008,999,1001,3
5/18/16,36,45,27,13,1001.58,42,8,16,19,10,7,1010,1006,995,999,0
5/19/16,38,46,29,11,999.88,45,5,17,16,6,10,1002,1010,994,995,0
5/20/16,38,46,30,6,998.96,33,4,13,17,-2,6,1002,1002,994,994,0
5/21/16,38,45,32,10,997.92,38,4,18,13,0,-2,1001,1002,992,994,0
5/22/16,38,44,31,12,998.41,30,6,17,18,3,0,1001,1001,992,992,0
5/23/16,34,42,25,16,999.88,46,10,21,17,8,3,1003,1001,995,992,0
5/24/16,32,40,23,18,1001.13,69,18,21,21,15,8,1006,1003,994,995,0.5
5/25/16,34,40,28,16,1002.15,74,14,20,21,12,15,1005,1006,996,994,0
5/26/16,34,40,28,17,1000.02,51,16,20,20,15,12,1003,1005,994,996,0
5/27/16,36,42,30,16,1001.7,46,14,19,20,13,15,1004,1003,997,994,0
5/28/16,35,40,30,13,1003.43,40,7,18,19,7,13,1006,1004,998,997,0
5/29/16,33,41,25,16,1003.17,46,15,20,18,13,7,1009,1006,997,998,0
5/30/16,32,37,26,16,1002.18,48,16,18,20,13,13,1005,1009,996,997,0
5/31/16,34,41,28,17,1003.67,58,21,20,18,8,13,1007,1005,999,996,0
6/1/16,35,42,28,16,1005.08,52,12,20,20,10,8,1008,1007,999,999,0
6/2/16,36,42,30,13,1005.44,42,10,18,20,8,10,1009,1008,999,999,0
6/3/16,38,43,32,13,1004.8,38,10,18,18,9,8,1009,1009,999,999,0
6/4/16,38,44,31,13,1004.93,34,10,18,18,7,9,1008,1009,999,999,0
6/5/16,38,45,31,5,1004.67,27,4,18,18,2,7,1007,1008,999,999,0
